category_id,category_names,notification_level,dismiss_new_timestamp
19,Math,watching,
29,29,watching,
12,Bugs with Hopscotch|Bugs in editor,watching,
14,Control blocks,watching,
26,Hopscotch Academy,watching,
20,Meta - Forum,watching,
23,Frequently Asked Questions,watching,
10,"Collabs, Requests & Competitions",watching,
16,"Design, Colors,  & Sound",watching,
13,Bugs with Hopscotch|Bugs in player,watching,
18,Announcements,watching,
22,Meta - Hopscotch,watching,
21,Random Stuff,watching,
1,Random,watching,
5,Deprecated,watching,
27,Hopscotch Programming Language Evolution,watching,
17,Debug my Code,watching,
15,Hopscotch Academy|Open Source Code & How Tos,watching,
9,Bugs with Hopscotch,watching,
